1002APD	1750APD	-102632.0
1002APD	1812APD	-4595.0
1002APD	1812APD	-4755.0
1002APD	1812APD	-4774.0
1002APD	1812APD	-4775.0
1002APD	1812APD	-4777.0
1002APD	1812APD	-4787.0
1002APD	1812APD	-4788.0
1002APD	1812APD	-4791.0
1002APD	1812APD	-4796.0
1002APD	1812APD	-4804.0
1002APD	1812APD	-4816.0
1002APD	1812APD	-4824.0
1002APD	1812APD	-4825.0
1002APD	1812APD	-4831.0
1002APD	1812APD	-4848.0
1002APD	1812APD	-4867.0
1002APD	1822APD	-172226.0
1002APD	1823APD	52051.0
1002APD	1823APD	52374.0
1002APD	1880APD	21426.0
1002APD	1880APD	21480.0
1002APD	1883APD	16948.0
1002APD	1883APD	17095.0
1002APD	18APD	-253411.0
1002APD	1908APD	-54907.0
1002APD	1908APD	-55940.0
1002APD	1922APD	-102981.0
1002APD	1922APD	-104350.0
1002APD	1941APD	-78631.0
1002APD	1941APD	-79987.0
1002APD	1948APD	-173402.0
1002APD	2004APD	-73082.0
1002APD	2004APD	-74338.0
1002APD	2020APD	26230.0
1002APD	2020APD	26294.0
1002APD	2039APD	8147.0
1002APD	2039APD	8164.0
1002APD	2039APD	8180.0
1002APD	2039APD	8183.0
1002APD	2039APD	8187.0
1002APD	2039APD	8190.0
1002APD	2039APD	8194.0
1002APD	2039APD	8202.0
1002APD	2039APD	8209.0
1002APD	2039APD	8230.0
1002APD	2039APD	8263.0
1002APD	2039APD	8290.0
1002APD	2066APD	-222377.0
1002APD	2073APD	-15020.0
1002APD	2073APD	-15214.0
1002APD	2073APD	-15231.0
1002APD	2073APD	-15279.0
1002APD	2073APD	-15298.0
1002APD	2073APD	-15313.0
1002APD	2073APD	-15315.0
1002APD	2102APD	-90719.0
1002APD	2102APD	-92048.0
1002APD	210APD	-69168.0
1002APD	210APD	-70413.0
1002APD	211APD	-259156.0
1002APD	2141APD	-158293.0
1002APD	2159APD	35448.0
1002APD	2159APD	35558.0
1002APD	2172APD	-74764.0
1002APD	2172APD	-76085.0
1002APD	2195APD	-255051.0
1002APD	2212APD	87940.0
1002APD	2269APD	-3165.142311015714
1002APD	2269APD	-3167.0
1002APD	2269APD	-3168.0
1002APD	2269APD	-3169.0
1002APD	2269APD	-3170.0
1002APD	2269APD	-3170.0
1002APD	2269APD	-3171.0
1002APD	2269APD	-3172.0
1002APD	2269APD	-3172.0
1002APD	2269APD	-3174.0
1002APD	2269APD	-3174.0
1002APD	2269APD	-3174.0
1002APD	2269APD	-3175.0
1002APD	2269APD	-3176.0
1002APD	2269APD	-3176.0
1002APD	2269APD	-3176.0
1002APD	2269APD	-3177.0
1002APD	2269APD	-3180.0
1002APD	2269APD	-3181.0
1002APD	2278APD	-201378.0
1002APD	2286APD	53738.0
1002APD	2286APD	54064.0
1002APD	2287APD	-37024.0
1002APD	2287APD	-37750.0
1002APD	2370APD	-66787.0
1002APD	2370APD	-68029.0
1002APD	2391APD	-132519.0
1002APD	2399APD	-162931.0
1002APD	240APD	80975.0
1002APD	2455APD	-166892.0
1002APD	253APD	-137518.0
1002APD	271APD	-278798.0
1002APD	273APD	-66143.0
1002APD	273APD	-67234.0
1002APD	279APD	-266261.0
1002APD	300APD	-212079.0
1002APD	332APD	60054.0
1002APD	332APD	60401.0
1002APD	342APD	-197547.0
1002APD	350APD	-45127.0
1002APD	350APD	-45950.0
1002APD	361APD	-125098.0
1002APD	381APD	-28596.0
1002APD	381APD	-28745.0
1002APD	381APD	-28832.0
1002APD	381APD	-28878.0
1002APD	381APD	-28898.0
1002APD	381APD	-28944.0
1002APD	384APD	77045.0
1002APD	40APD	-234773.0
1002APD	441APD	-10499.0
1002APD	441APD	-10528.0
1002APD	441APD	-10699.0
1002APD	441APD	-10705.0
1002APD	441APD	-10709.0
1002APD	441APD	-10725.0
1002APD	441APD	-10727.0
1002APD	441APD	-10778.0
1002APD	441APD	-10807.0
1002APD	441APD	-10830.0
1002APD	454APD	-136849.0
1002APD	477APD	68425.0
1002APD	477APD	68785.0
1002APD	483APD	-219874.0
1002APD	484APD	-146703.0
1002APD	485APD	-157571.0
1002APD	494APD	-168392.0
1002APD	51APD	-139712.0
1002APD	555APD	-113638.0
1002APD	559APD	-50871.0
1002APD	559APD	-51816.0
1002APD	610APD	29491.0
1002APD	610APD	29509.0
1002APD	722APD	-12572.0
1002APD	722APD	-12814.0
1002APD	722APD	-12830.0
1002APD	722APD	-12842.0
1002APD	722APD	-12859.0
1002APD	722APD	-12874.0
1002APD	722APD	-12920.0
1002APD	722APD	-12931.0
1002APD	722APD	-12943.0
1002APD	724APD	-96312.0
1002APD	737APD	-260407.0
1002APD	755APD	44265.0
1002APD	755APD	44416.0
1002APD	768APD	-16103.0
1002APD	768APD	-16287.0
1002APD	768APD	-16320.0
1002APD	768APD	-16336.0
1002APD	768APD	-16355.0
1002APD	768APD	-16371.0
1002APD	768APD	-16391.0
1002APD	817APD	48686.0
1002APD	859APD	24365.0
1002APD	859APD	24441.0
1002APD	894APD	-56902.0
1002APD	894APD	-57970.0
1002APD	902APD	13243.0
1002APD	902APD	13321.0
1002APD	902APD	13325.0
1002APD	902APD	13331.0
1002APD	902APD	13337.0
1002APD	902APD	13359.0
1002APD	902APD	13395.0
1002APD	903APD	-96957.0
1002APD	903APD	-98342.0
1002APD	955APD	-7327.0
1002APD	955APD	-7327.0
1002APD	955APD	-7328.0
1002APD	955APD	-7332.0
1002APD	955APD	-7349.0
1002APD	955APD	-7357.0
1002APD	955APD	-7376.0
1002APD	955APD	-7380.0
1002APD	955APD	-7395.0
1002APD	955APD	-7397.0
1002APD	955APD	-7405.0
1002APD	964APD	12233.0
1002APD	964APD	12252.0
1002APD	964APD	12310.0
1002APD	964APD	12319.0
1002APD	964APD	12330.0
1002APD	964APD	12353.0
1002APD	964APD	12373.0
1002APD	964APD	12392.0
1002APD	975APD	31783.0
1002APD	975APD	31843.0
1002APD	994APD	-126546.0
1002APD	999APD	-160337.0
1003APD	1035APD	19087.0
1003APD	1035APD	19120.0
1003APD	1035APD	19675.0
1003APD	1181APD	-30666.0
1003APD	1181APD	-30827.0
1003APD	1181APD	-30830.0
1003APD	1181APD	-30914.0
1003APD	1191APD	-94199.0
1003APD	1195APD	-10014.0
1003APD	1195APD	-9767.0
1003APD	1195APD	-9778.0
1003APD	1195APD	-9785.0
1003APD	1195APD	-9786.0
1003APD	1195APD	-9825.0
1003APD	1195APD	-9828.0
1003APD	1195APD	-9832.0
1003APD	1195APD	-9837.0
1003APD	1195APD	-9844.0
1003APD	1195APD	-9846.0
1003APD	1195APD	-9850.0
1003APD	1195APD	-9869.0
1003APD	1195APD	-9878.0
1003APD	1195APD	-9909.0
1003APD	1195APD	-9963.0
1003APD	1223APD	37196.0
1003APD	1223APD	37519.0
1003APD	1240APD	-53079.0
1003APD	1276APD	-107496.0
1003APD	1355APD	40453.0
1003APD	1368APD	-45146.0
1003APD	1386APD	-19617.0
1003APD	1386APD	-19887.0
1003APD	1386APD	-19894.0
1003APD	1386APD	-19900.0
1003APD	1386APD	-19938.0
1003APD	1386APD	-19952.0
1003APD	1406APD	6972.0
1003APD	1406APD	7002.0
1003APD	1406APD	7072.0
1003APD	1406APD	7124.0
1003APD	1406APD	7145.0
1003APD	1406APD	7153.0
1003APD	1406APD	7154.0
1003APD	1406APD	7375.0
1003APD	1415APD	33815.0
1003APD	1415APD	33952.0
1003APD	1416APD	-95389.0
1003APD	1417APD	31787.0
1003APD	1417APD	31953.0
1003APD	1440APD	5697.0
1003APD	1440APD	5726.0
1003APD	1440APD	5791.0
1003APD	1440APD	5835.0
1003APD	1440APD	5836.0
1003APD	1440APD	5862.0
1003APD	1440APD	5876.0
1003APD	1440APD	5878.0
1003APD	1440APD	5952.0
1003APD	1441APD	-59319.0
1003APD	1473APD	-1181.0
1003APD	1473APD	-1196.0
1003APD	1473APD	-1200.0
1003APD	1473APD	-1201.0
1003APD	1473APD	-1202.0
1003APD	1473APD	-1209.0
1003APD	1473APD	-1210.0
1003APD	1473APD	-1210.0
1003APD	1473APD	-1211.2911219482373
1003APD	1473APD	-1212.0
1003APD	1473APD	-1214.0
1003APD	1473APD	-1215.0
1003APD	1473APD	-1215.0
1003APD	1473APD	-1215.0
1003APD	1473APD	-1216.0
1003APD	1473APD	-1216.0
1003APD	1473APD	-1217.0
1003APD	1473APD	-1217.0
1003APD	1473APD	-1221.0
1003APD	1491APD	22032.0
1003APD	1491APD	22142.0
1003APD	1508APD	75979.0
1003APD	1634APD	-106335.0
1003APD	1689APD	29469.0
1003APD	1689APD	29628.0
1003APD	1706APD	-92757.0
1003APD	1747APD	-96150.0
1003APD	1749APD	-64679.0
1003APD	1750APD	-114214.0
1003APD	1812APD	-16258.0
1003APD	1812APD	-16356.0
1003APD	1812APD	-16375.0
1003APD	1812APD	-16383.0
1003APD	1812APD	-16387.0
1003APD	1812APD	-16402.0
1003APD	1812APD	-16439.0
1003APD	1823APD	40462.0
1003APD	1823APD	40786.0
1003APD	1880APD	9700.0
1003APD	1880APD	9838.0
1003APD	1880APD	9845.0
1003APD	1880APD	9891.0
1003APD	1883APD	5350.0
1003APD	1883APD	5363.0
1003APD	1883APD	5426.0
1003APD	1883APD	5457.0
1003APD	1883APD	5507.0
1003APD	1908APD	-67522.0
1003APD	1922APD	-115932.0
1003APD	1941APD	-91569.0
1003APD	2004APD	-85920.0
1003APD	2020APD	14482.0
1003APD	2020APD	14642.0
1003APD	2020APD	14705.0
1003APD	2020APD	15135.0
1003APD	2039APD	-3359.0
1003APD	2039APD	-3374.0
1003APD	2039APD	-3375.0
1003APD	2039APD	-3382.0
1003APD	2039APD	-3384.0
1003APD	2039APD	-3390.0
1003APD	2039APD	-3391.0
1003APD	2039APD	-3396.0
1003APD	2039APD	-3401.0
1003APD	2039APD	-3404.0
1003APD	2039APD	-3406.0
1003APD	2039APD	-3407.0
1003APD	2039APD	-3409.0
1003APD	2039APD	-3425.0
1003APD	2039APD	-3425.0
1003APD	2039APD	-3425.0
1003APD	2039APD	-3432.0
1003APD	2039APD	-3551.0
1003APD	2073APD	-26841.0
1003APD	2073APD	-26863.0
1003APD	2073APD	-26880.0
1003APD	2073APD	-26908.0
1003APD	2102APD	-103630.0
1003APD	210APD	-81995.0
1003APD	2159APD	23859.0
1003APD	2159APD	23970.0
1003APD	2159APD	24754.0
1003APD	2172APD	-87667.0
1003APD	2212APD	76352.0
1003APD	2269APD	-14655.0
1003APD	2269APD	-14691.0
1003APD	2269APD	-14752.0
1003APD	2269APD	-14759.0
1003APD	2269APD	-14763.0
1003APD	2269APD	-14768.0
1003APD	2269APD	-14799.0
1003APD	2269APD	-14828.0
1003APD	2286APD	42149.0
1003APD	2286APD	42476.0
1003APD	2287APD	-49332.0
1003APD	2370APD	-79611.0
1003APD	240APD	69387.0
1003APD	273APD	-78816.0
1003APD	332APD	48465.0
1003APD	332APD	48813.0
1003APD	350APD	-57532.0
1003APD	381APD	-40329.0
1003APD	381APD	-40505.0
1003APD	381APD	-40526.0
1003APD	384APD	65457.0
1003APD	441APD	-22009.0
1003APD	441APD	-22291.0
1003APD	441APD	-22294.0
1003APD	441APD	-22311.0
1003APD	441APD	-22316.0
1003APD	441APD	-22332.0
1003APD	477APD	56836.0
1003APD	477APD	57197.0
1003APD	559APD	-63398.0
1003APD	610APD	17733.0
1003APD	610APD	17903.0
1003APD	610APD	17920.0
1003APD	610APD	18424.0
1003APD	722APD	-24421.0
1003APD	722APD	-24426.0
1003APD	722APD	-24441.0
1003APD	722APD	-24441.0
1003APD	722APD	-24469.0
1003APD	724APD	-107894.0
1003APD	755APD	32676.0
1003APD	755APD	32828.0
1003APD	768APD	-27914.0
1003APD	768APD	-27918.0
1003APD	768APD	-27955.0
1003APD	768APD	-27986.0
1003APD	817APD	37098.0
1003APD	859APD	12646.0
1003APD	859APD	12777.0
1003APD	859APD	12852.0
1003APD	859APD	13216.0
1003APD	894APD	-69552.0
1003APD	902APD	1700.0
1003APD	902APD	1712.0
1003APD	902APD	1714.0
1003APD	902APD	1728.0
1003APD	902APD	1733.0
1003APD	902APD	1733.0
1003APD	902APD	1739.0
1003APD	902APD	1739.0
1003APD	902APD	1739.0
1003APD	902APD	1740.0
1003APD	902APD	1742.0
1003APD	902APD	1742.0
1003APD	902APD	1747.0
1003APD	902APD	1751.0
1003APD	902APD	1757.0
1003APD	902APD	1766.0
1003APD	903APD	-109924.0
1003APD	955APD	-18809.0
1003APD	955APD	-18909.0
1003APD	955APD	-18941.0
1003APD	955APD	-18944.0
1003APD	955APD	-18959.0
1003APD	955APD	-18971.0
1003APD	964APD	730.0
1003APD	964APD	730.0
1003APD	964APD	730.0
1003APD	964APD	732.0
1003APD	964APD	734.0
1003APD	964APD	736.0
1003APD	964APD	736.9425356254685
1003APD	964APD	737.0
1003APD	964APD	738.0
1003APD	964APD	741.0
1003APD	964APD	742.0
1003APD	964APD	742.0
1003APD	964APD	742.0
1003APD	964APD	742.0
1003APD	964APD	746.0
