1002APD_0	994APD_0	126893.0
1002APD_0	999APD_0	160220.0
1003APD_0	1002APD_0	10510.0
1003APD_0	1002APD_0	10513.0
1003APD_0	1002APD_0	10583.0
1003APD_0	1002APD_0	10586.0
1003APD_0	1002APD_0	10587.0
1003APD_0	1002APD_0	10592.0
1003APD_0	1002APD_0	10629.0
1003APD_0	1002APD_0	10636.0
1003APD_0	1181APD_0	28478.0
1003APD_0	1181APD_0	28639.0
1003APD_0	1181APD_0	28642.0
1003APD_0	1181APD_0	28726.0
1003APD_0	1191APD_0	93485.0
1003APD_0	1195APD_0	4068.0
1003APD_0	1195APD_0	4079.0
1003APD_0	1195APD_0	4086.0
1003APD_0	1195APD_0	4087.0
1003APD_0	1195APD_0	4126.0
1003APD_0	1195APD_0	4129.0
1003APD_0	1195APD_0	4133.0
1003APD_0	1195APD_0	4138.0
1003APD_0	1195APD_0	4145.0
1003APD_0	1195APD_0	4147.0
1003APD_0	1195APD_0	4151.0
1003APD_0	1195APD_0	4170.0
1003APD_0	1195APD_0	4179.0
1003APD_0	1195APD_0	4210.0
1003APD_0	1195APD_0	4264.0
1003APD_0	1195APD_0	4315.0
1003APD_0	1240APD_0	50006.0
1003APD_0	1276APD_0	107107.0
1003APD_0	1368APD_0	41294.0
1003APD_0	1386APD_0	19358.0
1003APD_0	1386APD_0	19628.0
1003APD_0	1386APD_0	19635.0
1003APD_0	1386APD_0	19641.0
1003APD_0	1386APD_0	19679.0
1003APD_0	1386APD_0	19693.0
1003APD_0	1416APD_0	94944.0
1003APD_0	1441APD_0	58287.0
1003APD_0	1473APD_0	718.0
1003APD_0	1473APD_0	733.0
1003APD_0	1473APD_0	737.0
1003APD_0	1473APD_0	738.0
1003APD_0	1473APD_0	739.0
1003APD_0	1473APD_0	746.0
1003APD_0	1473APD_0	747.0
1003APD_0	1473APD_0	747.0
1003APD_0	1473APD_0	748.2911219482373
1003APD_0	1473APD_0	749.0
1003APD_0	1473APD_0	751.0
1003APD_0	1473APD_0	752.0
1003APD_0	1473APD_0	752.0
1003APD_0	1473APD_0	752.0
1003APD_0	1473APD_0	753.0
1003APD_0	1473APD_0	753.0
1003APD_0	1473APD_0	754.0
1003APD_0	1473APD_0	754.0
1003APD_0	1473APD_0	758.0
1003APD_0	1634APD_0	104285.0
1003APD_0	1706APD_0	92497.0
1003APD_0	1747APD_0	96156.0
1003APD_0	1749APD_0	64142.0
1003APD_0	1750APD_0	110635.0
1003APD_0	1812APD_0	15740.0
1003APD_0	1812APD_0	15838.0
1003APD_0	1812APD_0	15857.0
1003APD_0	1812APD_0	15865.0
1003APD_0	1812APD_0	15869.0
1003APD_0	1812APD_0	15884.0
1003APD_0	1812APD_0	15921.0
1003APD_0	1908APD_0	65402.0
1003APD_0	1922APD_0	114912.0
1003APD_0	1941APD_0	88422.0
1003APD_0	2004APD_0	82725.0
1003APD_0	2039APD_0	1900.0
1003APD_0	2039APD_0	1915.0
1003APD_0	2039APD_0	1916.0
1003APD_0	2039APD_0	1923.0
1003APD_0	2039APD_0	1925.0
1003APD_0	2039APD_0	1931.0
1003APD_0	2039APD_0	1932.0
1003APD_0	2039APD_0	1937.0
1003APD_0	2039APD_0	1942.0
1003APD_0	2039APD_0	1945.0
1003APD_0	2039APD_0	1947.0
1003APD_0	2039APD_0	1948.0
1003APD_0	2039APD_0	1950.0
1003APD_0	2039APD_0	1966.0
1003APD_0	2039APD_0	1966.0
1003APD_0	2039APD_0	1966.0
1003APD_0	2039APD_0	1973.0
1003APD_0	2039APD_0	2092.0
1003APD_0	2073APD_0	25154.0
1003APD_0	2073APD_0	25176.0
1003APD_0	2073APD_0	25193.0
1003APD_0	2073APD_0	25221.0
1003APD_0	2102APD_0	96887.0
1003APD_0	210APD_0	80338.0
1003APD_0	2172APD_0	86683.0
1003APD_0	2269APD_0	12228.0
1003APD_0	2269APD_0	12264.0
1003APD_0	2269APD_0	12325.0
1003APD_0	2269APD_0	12332.0
1003APD_0	2269APD_0	12336.0
1003APD_0	2269APD_0	12341.0
1003APD_0	2269APD_0	12372.0
1003APD_0	2269APD_0	12401.0
1003APD_0	2287APD_0	45878.0
1003APD_0	2370APD_0	79594.0
1003APD_0	273APD_0	70575.0
1003APD_0	350APD_0	53842.0
1003APD_0	381APD_0	31338.0
1003APD_0	381APD_0	31514.0
1003APD_0	381APD_0	31535.0
1003APD_0	441APD_0	20345.0
1003APD_0	441APD_0	20627.0
1003APD_0	441APD_0	20630.0
1003APD_0	441APD_0	20647.0
1003APD_0	441APD_0	20652.0
1003APD_0	441APD_0	20668.0
1003APD_0	559APD_0	60057.0
1003APD_0	722APD_0	23018.0
1003APD_0	722APD_0	23023.0
1003APD_0	722APD_0	23038.0
1003APD_0	722APD_0	23038.0
1003APD_0	722APD_0	23066.0
1003APD_0	724APD_0	108210.0
1003APD_0	768APD_0	27553.0
1003APD_0	768APD_0	27557.0
1003APD_0	768APD_0	27594.0
1003APD_0	768APD_0	27625.0
1003APD_0	894APD_0	68273.0
1003APD_0	903APD_0	108617.0
1003APD_0	955APD_0	16978.0
1003APD_0	955APD_0	17078.0
1003APD_0	955APD_0	17110.0
1003APD_0	955APD_0	17113.0
1003APD_0	955APD_0	17128.0
1003APD_0	955APD_0	17140.0
1004APD_0	1004APD_0	32734.0
1004APD_0	1028APD_0	35353.0
1004APD_0	1028APD_0	68063.0
1004APD_0	108APD_0	1693.0
1004APD_0	108APD_0	1694.0
1004APD_0	108APD_0	1695.0
1004APD_0	108APD_0	1695.0
1004APD_0	108APD_0	1695.0
1004APD_0	108APD_0	1695.0
1004APD_0	108APD_0	1695.0
1004APD_0	108APD_0	1697.0
1004APD_0	108APD_0	1698.0
1004APD_0	108APD_0	1709.6505196964538
1004APD_0	108APD_0	34404.0
1004APD_0	1120APD_0	111688.0
1004APD_0	1120APD_0	144398.0
1004APD_0	1178APD_0	118444.0
1004APD_0	1178APD_0	151154.0
1004APD_0	1419APD_0	125610.0
1004APD_0	1419APD_0	92900.0
1004APD_0	1497APD_0	25380.0
1004APD_0	1497APD_0	25432.0
1004APD_0	1497APD_0	58142.0
1004APD_0	162APD_0	2022.0
1004APD_0	162APD_0	2031.0
1004APD_0	162APD_0	2037.0
1004APD_0	162APD_0	2039.0
1004APD_0	162APD_0	2040.0
1004APD_0	162APD_0	2042.0
1004APD_0	162APD_0	2042.0
1004APD_0	162APD_0	2042.399276412792
1004APD_0	162APD_0	2043.0
1004APD_0	162APD_0	2044.0
1004APD_0	162APD_0	2044.0
1004APD_0	162APD_0	2046.0
1004APD_0	162APD_0	2046.0
1004APD_0	162APD_0	2048.0
1004APD_0	162APD_0	2048.0
1004APD_0	162APD_0	2048.0
1004APD_0	162APD_0	2048.0
1004APD_0	162APD_0	2049.0
1004APD_0	162APD_0	2050.0
1004APD_0	162APD_0	2052.0
1004APD_0	162APD_0	2053.0
1004APD_0	162APD_0	34762.0
1004APD_0	164APD_0	1903.0
1004APD_0	164APD_0	1924.461536439949
1004APD_0	1690APD_0	112509.0
1004APD_0	1690APD_0	79799.0
1004APD_0	1697APD_0	38772.0
1004APD_0	1697APD_0	5858.0
1004APD_0	1697APD_0	5966.0
1004APD_0	1697APD_0	5998.0
1004APD_0	1697APD_0	6035.0
1004APD_0	1697APD_0	6036.0
1004APD_0	1697APD_0	6041.0
1004APD_0	1697APD_0	6041.0
1004APD_0	1697APD_0	6045.0
1004APD_0	1697APD_0	6059.0
1004APD_0	1697APD_0	6062.0
1004APD_0	1697APD_0	6080.0
1004APD_0	1697APD_0	6157.0
1004APD_0	1810APD_0	41666.0
1004APD_0	1810APD_0	74376.0
1004APD_0	1961APD_0	32285.0
1004APD_0	1961APD_0	64995.0
1004APD_0	1999APD_0	127545.0
1004APD_0	1999APD_0	94835.0
1004APD_0	203APD_0	115262.0
1004APD_0	203APD_0	147972.0
1004APD_0	2078APD_0	55089.0
1004APD_0	2078APD_0	87799.0
1004APD_0	2101APD_0	115874.0
1004APD_0	2101APD_0	83164.0
1004APD_0	2165APD_0	110287.0
1004APD_0	2165APD_0	142997.0
1004APD_0	2176APD_0	113435.0
1004APD_0	2176APD_0	146145.0
1004APD_0	2185APD_0	23854.0
1004APD_0	2185APD_0	23854.0
1004APD_0	2185APD_0	56564.0
1004APD_0	2213APD_0	1696.0
1004APD_0	2213APD_0	1697.0
1004APD_0	2213APD_0	1697.0
1004APD_0	2213APD_0	1699.0
1004APD_0	2213APD_0	1700.0
1004APD_0	2213APD_0	1700.6418996125224
1004APD_0	2328APD_0	24449.0
1004APD_0	2328APD_0	24457.0
1004APD_0	2328APD_0	57167.0
1004APD_0	2371APD_0	112145.0
1004APD_0	2371APD_0	79435.0
1004APD_0	2447APD_0	129253.0
