1003APD	1941APD	-91568.0
1003APD	2004APD	-85919.0
1003APD	2020APD	14481.0
1003APD	2020APD	14641.0
1003APD	2020APD	14704.0
1003APD	2020APD	15134.0
1003APD	2039APD	-3358.0
1003APD	2039APD	-3373.0
1003APD	2039APD	-3374.0
1003APD	2039APD	-3381.0
1003APD	2039APD	-3383.0
1003APD	2039APD	-3389.0
1003APD	2039APD	-3390.0
1003APD	2039APD	-3395.0
1003APD	2039APD	-3400.0
1003APD	2039APD	-3403.0
1003APD	2039APD	-3405.0
1003APD	2039APD	-3406.0
1003APD	2039APD	-3408.0
1003APD	2039APD	-3424.0
1003APD	2039APD	-3424.0
1003APD	2039APD	-3424.0
1003APD	2039APD	-3431.0
1003APD	2039APD	-3550.0
1003APD	2073APD	-26840.0
1003APD	2073APD	-26862.0
1003APD	2073APD	-26879.0
1003APD	2073APD	-26907.0
1003APD	2102APD	-103629.0
1003APD	210APD	-81994.0
1003APD	2159APD	23858.0
1003APD	2159APD	23969.0
1003APD	2159APD	24753.0
1003APD	2172APD	-87666.0
1003APD	2212APD	76351.0
1003APD	2269APD	-14654.0
1003APD	2269APD	-14690.0
1003APD	2269APD	-14751.0
1003APD	2269APD	-14758.0
1003APD	2269APD	-14762.0
1003APD	2269APD	-14767.0
1003APD	2269APD	-14798.0
1003APD	2269APD	-14827.0
1003APD	2286APD	42148.0
1003APD	2286APD	42475.0
1003APD	2287APD	-49331.0
1003APD	2370APD	-79610.0
1003APD	240APD	69386.0
1003APD	273APD	-78815.0
1003APD	332APD	48464.0
1003APD	332APD	48812.0
1003APD	350APD	-57531.0
1003APD	381APD	-40328.0
1003APD	381APD	-40504.0
1003APD	381APD	-40525.0
1003APD	384APD	65456.0
1003APD	441APD	-22008.0
1003APD	441APD	-22290.0
1003APD	441APD	-22293.0
1003APD	441APD	-22310.0
1003APD	441APD	-22315.0
1003APD	441APD	-22331.0
1003APD	477APD	56835.0
1003APD	477APD	57196.0
1003APD	559APD	-63397.0
1003APD	610APD	17732.0
1003APD	610APD	17902.0
1003APD	610APD	17919.0
1003APD	610APD	18423.0
1003APD	722APD	-24420.0
1003APD	722APD	-24425.0
1003APD	722APD	-24440.0
1003APD	722APD	-24440.0
1003APD	722APD	-24468.0
1003APD	724APD	-107893.0
1003APD	755APD	32675.0
1003APD	755APD	32827.0
1003APD	768APD	-27913.0
1003APD	768APD	-27917.0
1003APD	768APD	-27954.0
1003APD	768APD	-27985.0
1003APD	817APD	37097.0
1003APD	859APD	12645.0
1003APD	859APD	12776.0
1003APD	859APD	12851.0
1003APD	859APD	13215.0
1003APD	894APD	-69551.0
1003APD	902APD	1699.0
1003APD	902APD	1711.0
1003APD	902APD	1713.0
1003APD	902APD	1727.0
1003APD	902APD	1732.0
1003APD	902APD	1732.0
1003APD	902APD	1738.0
1003APD	902APD	1738.0
1003APD	902APD	1738.0
1003APD	902APD	1739.0
1003APD	902APD	1741.0
1003APD	902APD	1741.0
1003APD	902APD	1746.0
1003APD	902APD	1750.0
1003APD	902APD	1756.0
1003APD	902APD	1765.0
1003APD	903APD	-109923.0
1003APD	955APD	-18808.0
1003APD	955APD	-18908.0
1003APD	955APD	-18940.0
1003APD	955APD	-18943.0
1003APD	955APD	-18958.0
1003APD	955APD	-18970.0
1003APD	964APD	729.0
1003APD	964APD	729.0
1003APD	964APD	729.0
1003APD	964APD	731.0
1003APD	964APD	733.0
1003APD	964APD	735.0
1003APD	964APD	735.9425356254685
1003APD	964APD	736.0
1003APD	964APD	737.0
1003APD	964APD	740.0
1003APD	964APD	741.0
1003APD	964APD	741.0
1003APD	964APD	741.0
1003APD	964APD	741.0
1003APD	964APD	745.0
1003APD	964APD	749.0
1003APD	964APD	753.0
1003APD	964APD	754.0
1003APD	975APD	20193.0
1003APD	975APD	20254.0
1004APD	1004APD	32734.0
1004APD	1028APD	-34478.0
1004APD	1028APD	-67188.0
1004APD	107APD	100277.0
1004APD	107APD	67558.0
1004APD	108APD	-269.0
1004APD	108APD	-270.0
1004APD	108APD	-271.0
1004APD	108APD	-271.0
1004APD	108APD	-271.0
1004APD	108APD	-271.0
1004APD	108APD	-271.0
1004APD	108APD	-273.0
1004APD	108APD	-274.0
1004APD	108APD	-285.6505196964538
1004APD	108APD	-32980.0
1004APD	1094APD	120736.0
1004APD	1094APD	88017.0
1004APD	1095APD	114724.0
1004APD	1095APD	147443.0
1004APD	111APD	113645.0
1004APD	111APD	146364.0
1004APD	1120APD	-111678.0
1004APD	1120APD	-144388.0
1004APD	1129APD	105165.0
1004APD	1129APD	72446.0
1004APD	115APD	63959.0
1004APD	115APD	96678.0
1004APD	1178APD	-120817.0
1004APD	1178APD	-153527.0
1004APD	1257APD	125196.0
1004APD	1257APD	92477.0
1004APD	1294APD	21735.0
1004APD	1294APD	54454.0
1004APD	1325APD	103045.0
1004APD	1325APD	135764.0
1004APD	135APD	18606.0
1004APD	135APD	51325.0
1004APD	1372APD	66206.0
1004APD	1372APD	98925.0
1004APD	1407APD	115306.0
1004APD	1407APD	82587.0
1004APD	1419APD	-125577.0
1004APD	1419APD	-92867.0
1004APD	1426APD	41618.0
1004APD	1426APD	8832.0
1004APD	1426APD	8899.0
1004APD	1426APD	8899.0
1004APD	1431APD	113341.0
1004APD	1431APD	80622.0
1004APD	1497APD	-28108.0
1004APD	1497APD	-28160.0
1004APD	1497APD	-60870.0
1004APD	1497APD	4487.0
1004APD	1497APD	4532.0
1004APD	1497APD	4558.0
1004APD	1497APD	4599.0
1004APD	1497APD	4604.0
1004APD	1497APD	4621.0
1004APD	1521APD	107721.0
1004APD	1521APD	140440.0
1004APD	1540APD	110930.0
1004APD	1540APD	78211.0
1004APD	1548APD	106143.0
1004APD	1548APD	73424.0
1004APD	1606APD	105816.0
1004APD	1606APD	73097.0
1004APD	162APD	-1399.0
1004APD	162APD	-1408.0
1004APD	162APD	-1414.0
1004APD	162APD	-1416.0
1004APD	162APD	-1417.0
1004APD	162APD	-1419.0
1004APD	162APD	-1419.0
1004APD	162APD	-1419.399276412792
1004APD	162APD	-1420.0
1004APD	162APD	-1421.0
1004APD	162APD	-1421.0
1004APD	162APD	-1423.0
1004APD	162APD	-1423.0
1004APD	162APD	-1425.0
1004APD	162APD	-1425.0
1004APD	162APD	-1425.0
1004APD	162APD	-1425.0
1004APD	162APD	-1426.0
1004APD	162APD	-1427.0
1004APD	162APD	-1429.0
1004APD	162APD	-1430.0
1004APD	162APD	-34139.0
1004APD	162APD	31294.0
1004APD	164APD	-420.0
1004APD	164APD	-441.461536439949
1004APD	1663APD	118685.0
1004APD	1663APD	85966.0
1004APD	1664APD	119114.0
1004APD	1664APD	151833.0
1004APD	1690APD	-113791.0
1004APD	1690APD	-81081.0
1004APD	1697APD	-11251.0
1004APD	1697APD	-11359.0
1004APD	1697APD	-11391.0
1004APD	1697APD	-11428.0
1004APD	1697APD	-11429.0
1004APD	1697APD	-11434.0
1004APD	1697APD	-11434.0
1004APD	1697APD	-11438.0
1004APD	1697APD	-11452.0
1004APD	1697APD	-11455.0
1004APD	1697APD	-11473.0
1004APD	1697APD	-11550.0
1004APD	1697APD	-44165.0
1004APD	1697APD	21230.0
1004APD	1697APD	21243.0
1004APD	1726APD	101783.0
